GENE_ID,GENE,number_case,number_control,case_fold, control_fold,case_percentage,control_percentage, absolute_overrepresentation
ENSG00000173272,MZT2A,5,8,0.38,-0.62,29.41,44.44,15.03
ENSG00000180987,name not found,6,8,0.43,-0.57,35.29,44.44,9.15
ENSG00000163946,TASOR,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000196700,ZNF512B,13,14,0.48,-0.52,76.47,77.78,1.31
ENSG00000207947,MIR152,8,13,0.38,-0.62,47.06,72.22,25.16
ENSG00000174093,name not found,5,8,0.38,-0.62,29.41,44.44,15.03
ENSG00000173442,EHBP1L1,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000196724,ZNF418,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000166387,PPFIBP2,2,4,0.33,-0.67,11.76,22.22,10.46
ENSG00000172482,AGXT,6,6,0.5,-0.5,35.29,33.33,1.96
ENSG00000196735,HLA-DQA1,14,14,0.5,-0.5,82.35,77.78,4.58
ENSG00000211619,name not found,3,3,0.5,-0.5,17.65,16.67,0.98
ENSG00000211650,IGLV5-45,15,13,0.54,-0.46,88.24,72.22,16.01
ENSG00000176108,CHMP6,1,4,0.2,-0.8,5.88,22.22,16.34
ENSG00000196782,MAML3,6,9,0.4,-0.6,35.29,50.0,14.71
ENSG00000163930,BAP1,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000211651,IGLV1-44,15,13,0.54,-0.46,88.24,72.22,16.01
ENSG00000184999,SLC22A10,5,4,0.56,-0.44,29.41,22.22,7.19
ENSG00000181240,SLC25A41,11,10,0.52,-0.48,64.71,55.56,9.15
ENSG00000164122,ASB5,4,3,0.57,-0.43,23.53,16.67,6.86
ENSG00000211713,TRBV6-4,9,9,0.5,-0.5,52.94,50.0,2.94
ENSG00000174348,PODN,1,4,0.2,-0.8,5.88,22.22,16.34
ENSG00000181404,WASHC1,10,8,0.56,-0.44,58.82,44.44,14.38
ENSG00000196876,SCN8A,15,17,0.47,-0.53,88.24,94.44,6.21
ENSG00000211714,TRBV7-3,13,15,0.46,-0.54,76.47,83.33,6.86
ENSG00000185024,BRF1,3,4,0.43,-0.57,17.65,22.22,4.58
ENSG00000178878,APOLD1,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000152767,FARP1,4,2,0.67,-0.33,23.53,11.11,12.42
ENSG00000211715,TRBV5-3,13,15,0.46,-0.54,76.47,83.33,6.86
ENSG00000164323,CFAP97,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000176473,WDR25,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000178896,EXOSC4,4,1,0.8,-0.2,23.53,5.56,17.97
ENSG00000196936,name not found,9,10,0.47,-0.53,52.94,55.56,2.61
ENSG00000211716,TRBV9,11,13,0.46,-0.54,64.71,72.22,7.52
ENSG00000178950,GAK,6,0,1.0,0.0,35.29,0.0,35.29
ENSG00000211727,TRBV7-6,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000185164,NOMO2,6,9,0.4,-0.6,35.29,50.0,14.71
ENSG00000173801,JUP,0,4,0.0,-1.0,0.0,22.22,22.22
ENSG00000211731,TRBV5-7,17,15,0.53,-0.47,100.0,83.33,16.67
ENSG00000173809,TDRD12,1,4,0.2,-0.8,5.88,22.22,16.34
ENSG00000197134,ZNF257,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000211745,TRBV4-2,13,14,0.48,-0.52,76.47,77.78,1.31
ENSG00000159640,ACE,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000164465,DCBLD1,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000172922,RNASEH2C,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000176920,FUT2,8,9,0.47,-0.53,47.06,50.0,2.94
ENSG00000211764,TRBJ2-1,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000185267,CDNF,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000171084,FAM86JP,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000179832,MROH1,7,6,0.54,-0.46,41.18,33.33,7.84
ENSG00000182109,name not found,6,7,0.46,-0.54,35.29,38.89,3.59
ENSG00000197213,ZSCAN5B,8,9,0.47,-0.53,47.06,50.0,2.94
ENSG00000211765,TRBJ2-2,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000174938,SEZ6L2,4,5,0.44,-0.56,23.53,27.78,4.25
ENSG00000172977,KAT5,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000211766,TRBJ2-2P,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000174939,ASPHD1,3,3,0.5,-0.5,17.65,16.67,0.98
ENSG00000211767,TRBJ2-3,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000167232,ZNF91,7,6,0.54,-0.46,41.18,33.33,7.84
ENSG00000173068,BNC2,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000182240,BACE2,5,3,0.62,-0.38,29.41,16.67,12.75
ENSG00000211768,TRBJ2-4,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000148488,ST8SIA6,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000185347,TEDC1,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000164647,STEAP1,4,1,0.8,-0.2,23.53,5.56,17.97
ENSG00000211769,TRBJ2-5,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000197701,name not found,7,7,0.5,-0.5,41.18,38.89,2.29
ENSG00000163576,EFHB,4,0,1.0,0.0,23.53,0.0,23.53
ENSG00000211770,TRBJ2-6,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000152582,SPEF2,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000182326,C1S,3,4,0.43,-0.57,17.65,22.22,4.58
ENSG00000211771,TRBJ2-7,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000180155,LYNX1,9,4,0.69,-0.31,52.94,22.22,30.72
ENSG00000182329,KIAA2012,6,3,0.67,-0.33,35.29,16.67,18.63
ENSG00000197818,SLC9A8,12,14,0.46,-0.54,70.59,77.78,7.19
ENSG00000211772,TRBC2,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000175463,TBC1D10C,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000180228,PRKRA,11,11,0.5,-0.5,64.71,61.11,3.59
ENSG00000182472,CAPN12,5,10,0.33,-0.67,29.41,55.56,26.14
ENSG00000197870,PRB3,15,18,0.45,-0.55,88.24,100.0,11.76
ENSG00000211947,IGHV3-21,10,13,0.43,-0.57,58.82,72.22,13.4
ENSG00000177303,CASKIN2,5,7,0.42,-0.58,29.41,38.89,9.48
ENSG00000197893,NRAP,5,5,0.5,-0.5,29.41,27.78,1.63
ENSG00000211964,IGHV3-48,9,13,0.41,-0.59,52.94,72.22,19.28
ENSG00000167614,TTYH1,2,4,0.33,-0.67,11.76,22.22,10.46
ENSG00000185565,LSAMP,2,4,0.33,-0.67,11.76,22.22,10.46
ENSG00000173480,ZNF417,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000180448,ARHGAP45,6,5,0.55,-0.45,35.29,27.78,7.52
ENSG00000182583,VCX,11,9,0.55,-0.45,64.71,50.0,14.71
ENSG00000211972,IGHV3-66,6,7,0.46,-0.54,35.29,38.89,3.59
ENSG00000197959,DNM3,5,5,0.5,-0.5,29.41,27.78,1.63
ENSG00000163803,PLB1,5,1,0.83,-0.17,29.41,5.56,23.86
ENSG00000212123,PRR22,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000175600,SUGCT,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000164877,MICALL2,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000212127,TAS2R14,5,4,0.56,-0.44,29.41,22.22,7.19
ENSG00000198040,ZNF84,5,6,0.45,-0.55,29.41,33.33,3.92
ENSG00000163820,FYCO1,4,2,0.67,-0.33,23.53,11.11,12.42
ENSG00000175779,LINC02694,0,4,0.0,-1.0,0.0,22.22,22.22
ENSG00000185658,BRWD1,11,11,0.5,-0.5,64.71,61.11,3.59
ENSG00000180638,SLC47A2,4,1,0.8,-0.2,23.53,5.56,17.97
ENSG00000212441,RNU6-1269P,5,3,0.62,-0.38,29.41,16.67,12.75
ENSG00000198077,CYP2A7,12,7,0.63,-0.37,70.59,38.89,31.7
ENSG00000212498,SNORD86,15,12,0.56,-0.44,88.24,66.67,21.57
ENSG00000174945,AMZ1,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000198089,SFI1,3,3,0.5,-0.5,17.65,16.67,0.98
ENSG00000212807,OR2A42,13,13,0.5,-0.5,76.47,72.22,4.25
ENSG00000185721,DRG1,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000213030,CGB8,5,10,0.33,-0.67,29.41,55.56,26.14
ENSG00000165390,name not found,10,6,0.62,-0.38,58.82,33.33,25.49
ENSG00000185829,ARL17A,8,8,0.5,-0.5,47.06,44.44,2.61
ENSG00000183305,MAGEA2B,4,5,0.44,-0.56,23.53,27.78,4.25
ENSG00000198155,ZNF876P,4,3,0.57,-0.43,23.53,16.67,6.86
ENSG00000183310,OR2T34,4,4,0.5,-0.5,23.53,22.22,1.31
ENSG00000213214,ARHGEF35,13,13,0.5,-0.5,76.47,72.22,4.25
ENSG00000185864,NPIPB4,5,4,0.56,-0.44,29.41,22.22,7.19
ENSG00000183337,BCOR,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000213366,GSTM2,8,17,0.32,-0.68,47.06,94.44,47.39
ENSG00000175581,MRPL48,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000183496,MEX3B,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000198250,name not found,4,6,0.4,-0.6,23.53,33.33,9.8
ENSG00000174238,PITPNA,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000183527,PSMG1,5,6,0.45,-0.55,29.41,33.33,3.92
ENSG00000198346,ZNF813,11,9,0.55,-0.45,64.71,50.0,14.71
ENSG00000213523,SRA1,12,13,0.48,-0.52,70.59,72.22,1.63
ENSG00000176225,RTTN,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000178150,ZNF114,10,8,0.56,-0.44,58.82,44.44,14.38
ENSG00000183682,BMP8A,6,7,0.46,-0.54,35.29,38.89,3.59
ENSG00000186136,TAS2R42,12,16,0.43,-0.57,70.59,88.89,18.3
ENSG00000176485,PLAAT3,8,13,0.38,-0.62,47.06,72.22,25.16
ENSG00000186141,POLR3C,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000213931,HBE1,16,18,0.47,-0.53,94.12,100.0,5.88
ENSG00000176540,OR4C5,3,4,0.43,-0.57,17.65,22.22,4.58
ENSG00000156510,HKDC1,4,0,1.0,0.0,23.53,0.0,23.53
ENSG00000214193,SH3D21,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000174799,CEP135,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000183791,name not found,4,3,0.57,-0.43,23.53,16.67,6.86
ENSG00000164398,ACSL6,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000214534,ZNF705E,13,16,0.45,-0.55,76.47,88.89,12.42
ENSG00000186470,BTN3A2,3,3,0.5,-0.5,17.65,16.67,0.98
ENSG00000181409,AATK,12,11,0.52,-0.48,70.59,61.11,9.48
ENSG00000198838,RYR3,4,8,0.33,-0.67,23.53,44.44,20.92
ENSG00000214753,HNRNPUL2,3,3,0.5,-0.5,17.65,16.67,0.98
ENSG00000198848,CES1,12,10,0.55,-0.45,70.59,55.56,15.03
ENSG00000214892,USP8P1,13,9,0.59,-0.41,76.47,50.0,26.47
ENSG00000178605,GTPBP6,8,10,0.44,-0.56,47.06,55.56,8.5
ENSG00000214897,PNMA6E,5,2,0.71,-0.29,29.41,11.11,18.3
ENSG00000184110,EIF3C,6,7,0.46,-0.54,35.29,38.89,3.59
ENSG00000214922,HLA-F-AS1,17,17,0.5,-0.5,100.0,94.44,5.56
ENSG00000178685,PARP10,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000184156,KCNQ3,4,2,0.67,-0.33,23.53,11.11,12.42
ENSG00000164597,COG5,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000214978,GSG1L2,13,9,0.59,-0.41,76.47,50.0,26.47
ENSG00000186567,CEACAM19,1,4,0.2,-0.8,5.88,22.22,16.34
ENSG00000175003,SLC22A1,2,7,0.22,-0.78,11.76,38.89,27.12
ENSG00000215182,MUC5AC,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000186684,CYP27C1,12,14,0.46,-0.54,70.59,77.78,7.19
ENSG00000177106,EPS8L2,9,6,0.6,-0.4,52.94,33.33,19.61
ENSG00000215252,GOLGA8B,15,14,0.52,-0.48,88.24,77.78,10.46
ENSG00000186803,IFNA10,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000172869,DMXL1,6,10,0.38,-0.62,35.29,55.56,20.26
ENSG00000182611,name not found,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000184324,name not found,4,5,0.44,-0.56,23.53,27.78,4.25
ENSG00000199480,RNA5SP389,12,10,0.55,-0.45,70.59,55.56,15.03
ENSG00000215256,DHRS4-AS1,5,1,0.83,-0.17,29.41,5.56,23.86
ENSG00000215274,GAGE10,2,7,0.22,-0.78,11.76,38.89,27.12
ENSG00000179242,CDH4,5,4,0.56,-0.44,29.41,22.22,7.19
ENSG00000182841,RRP7BP,4,4,0.5,-0.5,23.53,22.22,1.31
ENSG00000200785,SNORD8,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000215394,name not found,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000169059,VCX3A,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000215405,name not found,10,11,0.48,-0.52,58.82,61.11,2.29
ENSG00000182858,ALG12,9,3,0.75,-0.25,52.94,16.67,36.27
ENSG00000166535,A2ML1,4,2,0.67,-0.33,23.53,11.11,12.42
ENSG00000215421,ZNF407,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000166579,NDEL1,4,1,0.8,-0.2,23.53,5.56,17.97
ENSG00000202363,SNORA62,12,13,0.48,-0.52,70.59,72.22,1.63
ENSG00000167094,TTC16,8,5,0.62,-0.38,47.06,27.78,19.28
ENSG00000215432,name not found,16,16,0.5,-0.5,94.12,88.89,5.23
ENSG00000154975,CA10,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000166748,name not found,0,5,0.0,-1.0,0.0,27.78,27.78
ENSG00000187272,KRTAP9-8,3,5,0.38,-0.62,17.65,27.78,10.13
ENSG00000184750,name not found,4,5,0.44,-0.56,23.53,27.78,4.25
ENSG00000215455,KRTAP10-1,16,16,0.5,-0.5,94.12,88.89,5.23
ENSG00000169246,NPIPB3,4,6,0.4,-0.6,23.53,33.33,9.8
ENSG00000161267,BDH1,1,4,0.2,-0.8,5.88,22.22,16.34
ENSG00000177504,VCX2,5,4,0.56,-0.44,29.41,22.22,7.19
ENSG00000155792,DEPTOR,0,4,0.0,-1.0,0.0,22.22,22.22
ENSG00000166685,COG1,4,0,1.0,0.0,23.53,0.0,23.53
ENSG00000203268,name not found,14,12,0.54,-0.46,82.35,66.67,15.69
ENSG00000215853,RPTN,4,8,0.33,-0.67,23.53,44.44,20.92
ENSG00000187522,HSPA14,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000165868,HSPA12A,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000216090,name not found,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000169393,ELSPBP1,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000183486,MX2,7,7,0.5,-0.5,41.18,38.89,2.29
ENSG00000184911,DMRTC1B,12,7,0.63,-0.37,70.59,38.89,31.7
ENSG00000219926,OR7E104P,16,16,0.5,-0.5,94.12,88.89,5.23
ENSG00000180043,FAM71E2,2,5,0.29,-0.71,11.76,27.78,16.01
ENSG00000183569,SERHL2,4,3,0.57,-0.43,23.53,16.67,6.86
ENSG00000203814,H2BC18,4,2,0.67,-0.33,23.53,11.11,12.42
ENSG00000221062,name not found,15,12,0.56,-0.44,88.24,66.67,21.57
ENSG00000187559,FOXD4L3,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000177673,TEX44,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000183571,PGPEP1L,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000221065,MIR1233-2,12,11,0.52,-0.48,70.59,61.11,9.48
ENSG00000221116,SNORD110,15,12,0.56,-0.44,88.24,66.67,21.57
ENSG00000203900,name not found,4,2,0.67,-0.33,23.53,11.11,12.42
ENSG00000221266,name not found,8,4,0.67,-0.33,47.06,22.22,24.84
ENSG00000184164,CRELD2,8,4,0.67,-0.33,47.06,22.22,24.84
ENSG00000169896,ITGAM,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000187726,DNAJB13,2,6,0.25,-0.75,11.76,33.33,21.57
ENSG00000185128,name not found,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000221826,PSG3,13,15,0.46,-0.54,76.47,83.33,6.86
ENSG00000187742,SECISBP2,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000180777,ANKRD30B,4,2,0.67,-0.33,23.53,11.11,12.42
ENSG00000204150,name not found,10,11,0.48,-0.52,58.82,61.11,2.29
ENSG00000221859,KRTAP10-10,12,9,0.57,-0.43,70.59,50.0,20.59
ENSG00000187764,SEMA4D,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000221864,KRTAP12-2,17,17,0.5,-0.5,100.0,94.44,5.56
ENSG00000187791,FAM205C,5,10,0.33,-0.67,29.41,55.56,26.14
ENSG00000176182,MYPOP,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000204209,DAXX,12,9,0.57,-0.43,70.59,50.0,20.59
ENSG00000221866,PLXNA4,3,4,0.43,-0.57,17.65,22.22,4.58
ENSG00000164946,FREM1,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000204237,OXLD1,5,1,0.83,-0.17,29.41,5.56,23.86
ENSG00000158113,LRRC43,4,1,0.8,-0.2,23.53,5.56,17.97
ENSG00000221961,name not found,10,6,0.62,-0.38,58.82,33.33,25.49
ENSG00000178031,ADAMTSL1,1,4,0.2,-0.8,5.88,22.22,16.34
ENSG00000221970,OR2A1,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000204371,EHMT2,2,6,0.25,-0.75,11.76,33.33,21.57
ENSG00000221989,OR2A2,14,8,0.64,-0.36,82.35,44.44,37.91
ENSG00000185499,MUC1,6,4,0.6,-0.4,35.29,22.22,13.07
ENSG00000204385,SLC44A4,4,4,0.5,-0.5,23.53,22.22,1.31
ENSG00000167619,TMEM145,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000178287,SPAG11A,9,8,0.53,-0.47,52.94,44.44,8.5
ENSG00000204463,BAG6,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000222036,POTEM,7,6,0.54,-0.46,41.18,33.33,7.84
ENSG00000181163,NPM1,7,10,0.41,-0.59,41.18,55.56,14.38
ENSG00000204469,PRRC2A,3,5,0.38,-0.62,17.65,27.78,10.13
ENSG00000222248,RNA5SP201,14,14,0.5,-0.5,82.35,77.78,4.58
ENSG00000181192,DHTKD1,5,6,0.45,-0.55,29.41,33.33,3.92
ENSG00000178814,OPLAH,3,5,0.38,-0.62,17.65,27.78,10.13
ENSG00000204485,name not found,4,5,0.44,-0.56,23.53,27.78,4.25
ENSG00000222352,RN7SKP221,14,15,0.48,-0.52,82.35,83.33,0.98
ENSG00000179846,NKPD1,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000181214,OR8G2P,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000174842,GLMN,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000223443,USP17L2,16,17,0.48,-0.52,94.12,94.44,0.33
ENSG00000176919,C8G,4,3,0.57,-0.43,23.53,16.67,6.86
ENSG00000223491,name not found,16,15,0.52,-0.48,94.12,83.33,10.78
ENSG00000188219,POTEE,5,5,0.5,-0.5,29.41,27.78,1.63
ENSG00000204532,ZSCAN5C,8,8,0.5,-0.5,47.06,44.44,2.61
ENSG00000223534,HLA-DQB1-AS1,16,12,0.57,-0.43,94.12,66.67,27.45
ENSG00000204572,KRTAP5-10,10,8,0.56,-0.44,58.82,44.44,14.38
ENSG00000167881,SRP68,6,8,0.43,-0.57,35.29,44.44,9.15
ENSG00000188372,ZP3,6,7,0.46,-0.54,35.29,38.89,3.59
ENSG00000174953,DHX36,7,8,0.47,-0.53,41.18,44.44,3.27
ENSG00000184967,NOC4L,5,10,0.33,-0.67,29.41,55.56,26.14
ENSG00000223837,name not found,6,2,0.75,-0.25,35.29,11.11,24.18
ENSG00000170759,KIF5B,4,3,0.57,-0.43,23.53,16.67,6.86
ENSG00000165494,PCF11,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000204580,DDR1,4,3,0.57,-0.43,23.53,16.67,6.86
ENSG00000223985,LINC01874,11,12,0.48,-0.52,64.71,66.67,1.96
ENSG00000184990,SIVA1,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000224425,SSBP3P2,16,17,0.48,-0.52,94.12,94.44,0.33
ENSG00000188580,NKAIN2,5,5,0.5,-0.5,29.41,27.78,1.63
ENSG00000179403,VWA1,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000224659,GAGE12J,2,6,0.25,-0.75,11.76,33.33,21.57
ENSG00000167394,ZNF668,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000186146,DEFB131A,5,4,0.56,-0.44,29.41,22.22,7.19
ENSG00000204632,HLA-G,5,9,0.36,-0.64,29.41,50.0,20.59
ENSG00000224730,LILRB1-AS1,15,16,0.48,-0.52,88.24,88.89,0.65
ENSG00000182253,SYNM,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000165730,STOX1,1,5,0.17,-0.83,5.88,27.78,21.9
ENSG00000185130,H2BC13,4,3,0.57,-0.43,23.53,16.67,6.86
ENSG00000186193,SAPCD2,9,10,0.47,-0.53,52.94,55.56,2.61
ENSG00000225083,GRTP1-AS1,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000185163,DDX51,5,10,0.33,-0.67,29.41,55.56,26.14
ENSG00000225210,DUXAP9,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000177465,ACOT4,4,6,0.4,-0.6,23.53,33.33,9.8
ENSG00000186275,name not found,10,10,0.5,-0.5,58.82,55.56,3.27
ENSG00000204778,CBWD4P,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000225241,name not found,14,12,0.54,-0.46,82.35,66.67,15.69
ENSG00000179698,WDR97,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000185201,IFITM2,4,2,0.67,-0.33,23.53,11.11,12.42
ENSG00000204779,FOXD4L5,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000225410,name not found,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000189077,TMEM120A,12,13,0.48,-0.52,70.59,72.22,1.63
ENSG00000175766,EIF4E1B,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000204828,name not found,9,11,0.45,-0.55,52.94,61.11,8.17
ENSG00000168397,ATG4B,4,2,0.67,-0.33,23.53,11.11,12.42
ENSG00000225465,RFPL1S,8,8,0.5,-0.5,47.06,44.44,2.61
ENSG00000167858,TEKT1,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000225506,CYP4A22-AS1,10,13,0.43,-0.57,58.82,72.22,13.4
ENSG00000189144,ZNF573,2,7,0.22,-0.78,11.76,38.89,27.12
ENSG00000186448,ZNF197,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000225516,FAM197Y5,14,12,0.54,-0.46,82.35,66.67,15.69
ENSG00000181234,TMEM132C,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000180376,CCDC66,2,4,0.33,-0.67,11.76,22.22,10.46
ENSG00000185345,PRKN,4,4,0.5,-0.5,23.53,22.22,1.31
ENSG00000186510,CLCNKA,14,11,0.56,-0.44,82.35,61.11,21.24
ENSG00000225864,name not found,17,17,0.5,-0.5,100.0,94.44,5.56
ENSG00000182896,TMEM95,1,10,0.09,-0.91,5.88,55.56,49.67
ENSG00000175920,DOK7,4,4,0.5,-0.5,23.53,22.22,1.31
ENSG00000167578,RAB4B,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000225899,FRG2B,17,17,0.5,-0.5,100.0,94.44,5.56
ENSG00000225946,name not found,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000178127,NDUFV2,2,9,0.18,-0.82,11.76,50.0,38.24
ENSG00000226430,USP17L7,16,17,0.48,-0.52,94.12,94.44,0.33
ENSG00000176463,SLCO3A1,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000186716,BCR,7,0,1.0,0.0,41.18,0.0,41.18
ENSG00000226572,SNORD57,15,12,0.56,-0.44,88.24,66.67,21.57
ENSG00000196132,MYT1,3,5,0.38,-0.62,17.65,27.78,10.13
ENSG00000183054,RGPD6,9,12,0.43,-0.57,52.94,66.67,13.73
ENSG00000185615,PDIA2,10,10,0.5,-0.5,58.82,55.56,3.27
ENSG00000186787,SPIN2B,7,9,0.44,-0.56,41.18,50.0,8.82
ENSG00000226644,name not found,14,11,0.56,-0.44,82.35,61.11,21.24
ENSG00000196159,FAT4,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000168071,CCDC88B,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000169174,PCSK9,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000167680,SEMA6B,5,1,0.83,-0.17,29.41,5.56,23.86
ENSG00000226786,name not found,5,6,0.45,-0.55,29.41,33.33,3.92
ENSG00000196196,HRCT1,9,12,0.43,-0.57,52.94,66.67,13.73
ENSG00000186860,KRTAP17-1,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000168172,HOOK3,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000204983,PRSS1,12,11,0.52,-0.48,70.59,61.11,9.48
ENSG00000226900,name not found,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000196214,ZNF766,2,9,0.18,-0.82,11.76,50.0,38.24
ENSG00000178921,PFAS,2,4,0.33,-0.67,11.76,22.22,10.46
ENSG00000205018,name not found,12,13,0.48,-0.52,70.59,72.22,1.63
ENSG00000227050,name not found,11,12,0.48,-0.52,64.71,66.67,1.96
ENSG00000172493,AFF1,4,4,0.5,-0.5,23.53,22.22,1.31
ENSG00000183260,ABHD16B,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000185739,SRL,7,7,0.5,-0.5,41.18,38.89,2.29
ENSG00000205030,OR5L2,4,5,0.44,-0.56,23.53,27.78,4.25
ENSG00000227091,SLC6A17-AS1,10,13,0.43,-0.57,58.82,72.22,13.4
ENSG00000176853,FAM91A1,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000205086,C2orf91,5,6,0.45,-0.55,29.41,33.33,3.92
ENSG00000227124,ZNF717,11,10,0.52,-0.48,64.71,55.56,9.15
ENSG00000182378,PLCXD1,1,4,0.2,-0.8,5.88,22.22,16.34
ENSG00000169251,NMD3,1,4,0.2,-0.8,5.88,22.22,16.34
ENSG00000165699,TSC1,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000227151,PRR20D,9,7,0.56,-0.44,52.94,38.89,14.05
ENSG00000182004,SNRPE,4,9,0.31,-0.69,23.53,50.0,26.47
ENSG00000185896,LAMP1,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000205356,TECPR1,4,4,0.5,-0.5,23.53,22.22,1.31
